,title,company,location,salary,date,hyperlink,glassdoor_link,stars,sector,num_employees
53,Senior Data Engineer,Capital One,"Hybrid remote in Wilmington, DE",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=8e48e6a29e92aa7e&fccid=b85c5070c3d3d8c8&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Capital-One-EI_IE3736.11,22.htm",4.1,Banking & Lending,10K+ Employees
54,"Senior Embedded Software Engineer, Series A",Recruiting From Scratch,"Remote in Philadelphia, PA 19104","$140,000 - $250,000 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=1d33e5cb61eb510b&fccid=09e02654c2f26bbd&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Recruiting-from-Scratch-EI_IE2496828.11,34.htm",4.0,Staffing & Subcontracting,1 to 50 Employees
55,Java AWS Software Engineer II,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=183eed0a13b112ed&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
56,Java AWS Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=3321ecf97da5e6c3&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
57,"Lead Software Engineer, Java",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=619a843b1e17357c&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
58,Big Data Java Software Engineer III,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=61e671e06330a508&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
59,Lead Software Engineer - Full Stack Developer / React,JPMorgan Chase & Co,"Wilmington, DE 19803","$147,250 - $215,000 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=6fd435490c2831bd&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
60,"Lead Software Engineer, Full Stack, CCB Digital CAMP",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=73600c5816e894e2&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
61,Data AWS Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=618f63a7d841c0a7&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
62,Senior Embedded Software Engineer,MSNS HR TECHNOLOGY LLC,"New Castle, DE 19720",$40 - $70 an hour,Posted 30+ days ago,https://www.indeed.com/company/MSNS-HR-TECHNOLOGY-LLC/jobs/Senior-Software-Engineer-db16c075b8d68579?fccid=35910e8c1081b970&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Adient-EI_IE1425189.11,17.htm",3.8,Transportation Equipment Manufacturing,10K+ Employees
63,Senior Data Scientist,QVC,"Hybrid remote in West Chester, PA 19380",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=38070a1c8ecbea14&fccid=8a4535c948d32e2a&vjs=3,"https://www.glassdoor.com/Overview/Working-at-QVC-EI_IE8434.11,14.htm",3.4,Other Retail Stores,10K+ Employees
64,Senior Machine Learning Engineer,Recruiting From Scratch,"Philadelphia, PA 19104 
(Belmont area)","$140,000 - $180,000 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=c68c980ce48b1caa&fccid=09e02654c2f26bbd&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Recruiting-from-Scratch-EI_IE2496828.11,34.htm",4.0,Staffing & Subcontracting,1 to 50 Employees
65,Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=057aa3a1a7fd7979&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
66,Lead Software Engineer,JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=e120a7ee44522b85&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
67,Lead Machine Learning Engineer - REMOTE,FreeWheel,"Remote in Philadelphia, PA 19103","$111,800 - $262,032 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=137340869f5aabdc&fccid=479c75c627f8dd06&vjs=3,"https://www.glassdoor.com/Overview/Working-at-FreeWheel-EI_IE313920.11,20.htm",4.0,Advertising & Public Relations,1K to 5K Employees
68,Lead Machine Learning Engineer - REMOTE,Comcast,"Remote in Philadelphia, PA 19103","$111,800 - $262,032 a year",Posted 30+ days ago,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cj-KmZPsf9w80C8b1WzNVrlanjD2SXJjxuCbUWHsXPZrKoeu5JnscF6kqX4UPAJClgcTapRCfMmBUuGFqxD2EaDP2DwPJ0VEaHl1fTIP5dPE_t0BDz-p-Bt7jPnAReoR0MtMor-BWPLV6TMIaZYV8xu9_-6y2UUYCW8waxiDZwtA34e5jqKuo7Nci9VwCR4ZAB1wutcuugKn6hvAefQCHpBN4Hmw1vDc8b7Q69Gy7QwelVUhIAPSbe8y1FMdxn6ZcnqO01pH2JIft7v0YFA9Lx5YH0A-L8HSNannMaVelFzFW1UL-MB8FMlsds5ZF0jcUnbwTgWWc1w6i61zeOJkstJak8gcL4gxk-6snSgUYC3cuHeY-Ogq60dUInYOpXpOdY4b5USe-M3c5DJNEWcIsjJ1tId0y-GBsGM0CVPo6htYFPVRnmGqKZGdESgAQd7U-O3qriV06ZFBTodTbWF1tJBdmCVd7UYOVQO-1XKQZBug71Ln2TTyfWWe9CVvlRny76Qa-tdGTe2OIRNjcgLXXaDXzW8wIRq4pGphDwRAh_FI4VsrTL7B_v-FgFbJYJ7GHHqA9TUe1xNI_Tv8NMCKULKfHsXTkzRoxQLASMxaRJfyxFWCtm6KwaAR6hg5tYxgtV-2t7c1BD5UHyWzbsm6Iutm1oGrVUzlnMJDKA36u16uNbiPocbbiHVgRssS9IEKIYZX9HhF53PZA5idIGG2XSZdPbxOEbQ_CSAGi6Mb1OUmESsZPQMQIA9OYTbcJ00LiwEj6vz4azV021bwJQbiJ9c-R89U2ViHpNmkJ6O-eTMuuY0hWJB365feR6ai6NySnqZOYXQ5j1baqhpEvUjy93lPkfLvADJBxzDAsG8cgHhTfVlMMMYNnfxkv7Uwp5pkiP30VkBb8Y92C7IwG8T5cgc_hiB8ApayXrnmbmhFYlr7KDMeiWuEBA7kPHdEr-gUYb8beuO5vJfkW3ah6lg0AmQbJYn-Mx5Csoy9pT9NpmN36G6i4QUwS2fLC9TE7qKHwni-AoE1-E3hl-jo79KIZ_T7NEhlxyu-Yn1v6uzUhrNE7ZVMYKgzjX4wPluzurVBH_Qv9bDNc-ws19ZpBBUHntjWROEmDcUAvetS65gwqMOCuKrzCaZf0kIl4YXPKXHuJlQ5ejTd4898VcosVfm5FPfzdwBbZgpasRpDXtFMCYXZ61RDzlFjr654nj1ImLwVGpuyBuKIJa6WahlhKhFYuNhntSYKaG8E1sy9_N89Q3_xijtDzAhld8-0QTFFlta28s9eevguEjTRUH-L6ughyaRCBBzpjiZzOd4bwuED2iCbpO3ln8MEroT_ZQu4fHB1CIpwqgan04MuLODhc4Y05NMCHtKpf360lwD49I3QSXXr_sQwSZ6kJC&xkcb=SoBf-_M3Jm3CO0WYEZ0SbzkdCdPP&p=10&fvj=0&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Comcast-EI_IE1280.11,18.htm",3.8,Telecommunications Services,10K+ Employees
69,Experienced Software Engineer Java / Python (Full Stack or Back End),JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=70dc2701ddf47e87&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
70,Senior Embedded Software Engineer,Recruiting From Scratch,"Remote in Philadelphia, PA 19104","$140,000 - $250,000 a year",Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=c8072f7f8837f066&fccid=09e02654c2f26bbd&vjs=3,"https://www.glassdoor.com/Overview/Working-at-Recruiting-from-Scratch-EI_IE2496828.11,34.htm",4.0,Staffing & Subcontracting,1 to 50 Employees
71,"Lead Software Engineer - Java, AWS Cloud",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=16f5461a3a02b5ea&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
72,"Software Engineer III, Sustainability Data Science",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=6e84e08947b8ddff&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
73,"Software Engineer III, IoT/Java",JPMorgan Chase & Co,"Wilmington, DE 19803",,Posted 30+ days ago,https://www.indeed.com/rc/clk?jk=a00cb347c4605394&fccid=c46d0116f6e69eae&vjs=3,"https://www.glassdoor.com/Overview/Working-at-JPMorgan-Chase-and-Co-EI_IE5224839.11,32.htm",4.0,Banking & Lending,10K+ Employees
